#Table 1 from Arnaud et al. 2007 (https://www.aanda.org/articles/aa/pdf/2007/42/aa8541-07.pdf)
# 0) Cluster; 1) z; 2) TX[keV]; 3) deltaTX; 4) M500 [10^14 Msun]; 5) +deltaM500; 6) -deltaM500; 7) Mg,500 [10^13 M]; 8)+deltaMg,500; 9) -deltaMg,500; 10) YX [10^13 M keV]; 11) +deltaYX; 12) -deltaYZ; 13) fg,500; 14) +deltafg,500; 15) -delta fg,500

1983 0.0442 2.18 0.09 1.09 +0.45 -0.29 0.64 +0.10 -0.08 1.39 +0.23 -0.18 0.058 +0.026 -0.017
9 0.0382 2.43 0.24 0.88 +0.23 -0.18 0.49 +0.06 -0.05 1.19 +0.18 -0.17 0.055 +0.016 -0.012
2717 0.0498 2.56 0.06 1.10 +0.13 -0.11 1.02 +0.06 -0.05 2.60 +0.16 -0.15 0.093 +0.012 -0.011
1991 0.0586 2.71 0.07 1.20 +0.13 -0.12 1.25 +0.06 -0.06 3.39 +0.19 -0.19 0.104 +0.012 -0.011
2597 0.0852 3.67 0.09 2.22 +0.23 -0.21 2.51 +0.09 -0.08 9.21 +0.39 -0.38 0.113 +0.012 -0.011
1068 0.1375 4.67 0.11 3.87 +0.29 -0.27 3.77 +0.10 -0.10 17.6 +0.63 -0.62 0.097 +0.008 -0.007
1413 0.1430 6.62 0.14 4.82 +0.44 -0.40 7.55 +0.28 -0.27 50.0 +2.1 -2.1 0.157 +0.016 -0.014
478 0.0881 7.05 0.12 7.57 +1.20 -1.02 9.33 +0.46 -0.43 65.8 +3.4 -3.2 0.123 +0.020 -0.017
0745191 0.1028 7.97 0.28 7.27 +0.80 -0.70 10.71 +0.50 -0.47 85.3 +5.0 -4.8 0.147 +0.018 -0.016
2204 0.1523 8.26 0.22 8.39 +0.86 -0.77 10.55 +0.40 -0.39 87.2 +4.1 -4.0 0.126 +0.014 -0.012
