# Snameource: Chiu et al. (2018) MNRAS 478, 3072-3099 (https://academic.oup.com/mnras/article/478/3/3072/4996803)
# Table 2: Cluster parameters and baryon content
#
# Columns:
# 1:  Name       - SPT Cluster Designation 
# 2:  R500       - Radius in arcmin 
# 3:  M500       - Halo mass (10^14 M_sun) 
# 4:  M500_err   - Error in M500 
# 5:  MICM       - ICM mass (10^13 M_sun) 
# 6:  MICM_err   - Error in MICM 
# 7:  Mstar      - Stellar mass (10^12 M_sun) 
# 8:  Mstar_err  - Error in Stellar mass
# 9:  Mb         - Total baryon mass (10^13 M_sun) 
# 10: Mb_err     - Error in Mb
# 11: fc         - Cold baryon fraction 
# 12: fc_err     - Error in fc 
#------------------------------------------------------------------------------------------------------------------------
# Name              R500   M500  M500_err MICM MICM_err Mstar Mstar_err Mb   Mb_err  f_c  fc_err

SPT-CLJ0000-5748     2.07   4.13   0.59   3.99   0.23   3.34   0.51    4.33   0.24  0.077  0.012
SPT-CLJ0013-4906     3.46   5.94   0.78   6.77   0.19   3.37   0.58    7.11   0.20  0.047  0.008
SPT-CLJ0014-4952     2.07   4.74   0.66   6.69   0.15   4.76   0.74    7.17   0.17  0.066  0.010
SPT-CLJ0033-6326     2.35   4.30   0.64   4.88   0.16   4.44   0.78    5.32   0.18  0.083  0.014
SPT-CLJ0037-5047     1.56   3.73   0.59   2.35   0.19   2.74   0.61    2.62   0.20  0.104  0.022
SPT-CLJ0040-4407     4.33   8.25   1.00   8.34   0.26   4.69   0.63    8.81   0.26  0.053  0.007
SPT-CLJ0058-6145     1.85   4.06   0.61   4.42   0.15   3.08   0.58    4.73   0.16  0.065  0.012
SPT-CLJ0102-4603     2.04   4.16   0.64   4.04   0.14   4.82   0.56    4.52   0.15  0.107  0.012
SPT-CLJ0102-4915     2.52   11.36  1.34   22.50  0.21   9.80   1.01    23.48  0.24  0.042  0.004
SPT-CLJ0123-4821     2.25   4.09   0.65   4.58   0.09   4.50   0.58    5.03   0.11  0.090  0.011
SPT-CLJ0142-5032     2.15   5.02   0.68   5.55   0.27   3.64   0.62    5.92   0.28  0.061  0.010
SPT-CLJ0151-5954     1.58   3.91   0.59   5.07   0.14   4.58   0.73    5.52   0.16  0.083  0.012
SPT-CLJ0156-5541     1.38   3.49   0.55   4.17   0.15   2.01   0.36    4.37   0.16  0.046  0.008
SPT-CLJ0200-4852     2.67   4.31   0.65   5.00   0.17   4.39   0.61    5.44   0.18  0.081  0.011
SPT-CLJ0212-4657     2.33   5.15   0.69   6.43   0.22   3.37   0.62    6.77   0.23  0.050  0.009
SPT-CLJ0217-5245     3.46   4.01   0.66   4.99   0.13   4.49   0.85    5.44   0.16  0.083  0.014
SPT-CLJ0232-5257     2.54   4.71   0.67   5.91   0.21   3.80   0.57    6.29   0.22  0.060  0.009
SPT-CLJ0234-5831     3.54   6.70   0.83   7.23   0.20   3.60   0.56    7.59   0.21  0.047  0.007
SPT-CLJ0236-4938     3.44   3.69   0.67   3.84   0.07   3.15   0.57    4.15   0.09  0.076  0.013
SPT-CLJ0243-5930     2.23   4.18   0.62   5.27   0.16   3.83   0.61    5.66   0.17  0.068  0.010
SPT-CLJ0252-4824     3.01   4.24   0.66   4.67   0.14   2.28   0.42    4.89   0.14  0.047  0.008
SPT-CLJ0256-5617     2.36   4.15   0.62   5.43   0.13   3.96   0.60    5.83   0.15  0.068  0.010
SPT-CLJ0304-4401     3.34   6.99   0.87   9.77   0.24   5.59   0.73    10.33  0.24  0.054  0.007
SPT-CLJ0304-4921     3.62   6.26   0.81   7.06   0.14   3.49   0.49    7.41   0.15  0.047  0.006
SPT-CLJ0307-5042     2.55   4.64   0.66   5.37   0.14   5.50   0.76    5.92   0.16  0.093  0.012
SPT-CLJ0307-6225     2.43   4.49   0.64   5.74   0.20   2.81   0.48    6.02   0.20  0.047  0.008
SPT-CLJ0310-4647     2.03   3.98   0.62   4.19   0.23   3.04   0.54    4.49   0.24  0.068  0.012
SPT-CLJ0324-6236     2.07   4.46   0.63   4.94   0.13   5.13   0.74    5.45   0.15  0.094  0.012
SPT-CLJ0330-5228     3.19   5.63   0.74   11.29  0.18   3.48   0.56    11.64  0.19  0.030  0.005
SPT-CLJ0334-4659     2.83   4.85   0.67   5.57   0.14   2.10   0.41    5.78   0.15  0.036  0.007
SPT-CLJ0346-5439     2.65   4.82   0.66   5.87   0.14   4.29   0.65    6.30   0.15  0.068  0.010
SPT-CLJ0348-4515     3.66   5.27   0.71   5.08   0.17   4.39   0.66    5.52   0.19  0.079  0.011
SPT-CLJ0352-5647     2.10   3.90   0.61   4.65   0.16   3.11   0.51    4.96   0.17  0.063  0.010
SPT-CLJ0406-4805     2.02   4.21   0.61   5.22   0.17   4.60   0.79    5.68   0.18  0.081  0.013
SPT-CLJ0411-4819     3.50   6.79   0.84   9.02   0.13   5.54   0.75    9.58   0.15  0.058  0.007
SPT-CLJ0417-4748     2.70   6.23   0.78   7.44   0.20   4.53   0.69    7.89   0.21  0.057  0.008
SPT-CLJ0426-5455     2.31   4.58   0.64   5.41   0.14   4.71   0.71    5.88   0.16  0.080  0.011
SPT-CLJ0438-5419     3.82   8.68   1.04   11.27  0.22   5.96   0.67    11.87  0.21  0.050  0.005
SPT-CLJ0441-4855     1.94   4.31   0.61   4.88   0.12   5.01   0.77    5.38   0.14  0.093  0.013
SPT-CLJ0446-5849     1.40   3.50   0.54   2.87   0.31   4.22   0.77    3.29   0.32  0.128  0.024
SPT-CLJ0449-4901     1.95   4.41   0.62   4.96   0.16   4.24   0.69    5.39   0.18  0.079  0.012
SPT-CLJ0456-5116     2.49   4.51   0.64   5.17   0.09   3.64   0.60    5.53   0.11  0.066  0.010
SPT-CLJ0509-5342     2.87   4.51   0.64   5.48   0.16   1.70   0.34    5.65   0.16  0.030  0.006
SPT-CLJ0528-5300     1.83   3.45   0.57   2.99   0.10   3.82   0.62    3.37   0.11  0.113  0.017
SPT-CLJ0533-5005     1.70   3.60   0.56   2.43   0.15   2.43   0.56    2.67   0.16  0.091  0.020
SPT-CLJ0542-4100     2.29   4.65   0.68   5.62   0.13   3.78   0.56    6.00   0.14  0.063  0.009
SPT-CLJ0546-5345     1.64   4.58   0.60   6.20   0.15   7.23   0.94    6.92   0.18  0.104  0.012
SPT-CLJ0551-5709     3.05   4.45   0.64   6.09   0.11   3.86   0.53    6.47   0.12  0.060  0.008
SPT-CLJ0555-6406     4.03   6.43   0.82   8.56   0.19   NaN    NaN     NaN    NaN   NaN    NaN
SPT-CLJ0559-5249     2.44   5.04   0.67   6.99   0.09   5.84   0.79    7.57   0.12  0.077  0.016
SPT-CLJ0616-5227     2.06   4.19   0.47   5.02   0.18   6.24   1.26    5.65   0.22  0.111  0.020
SPT-CLJ0655-5234     2.83   4.53   0.67   4.42   0.22   NaN    NaN     NaN    NaN   NaN    NaN
SPT-CLJ2031-4037     4.36   7.95   0.97   10.31  0.18   3.33   0.57    10.85  0.22  0.030  0.005
SPT-CLJ2034-5936     1.73   4.08   0.58   5.54   0.13   5.87   0.14    6.13   0.14  0.057  0.009
SPT-CLJ2035-5251     2.76   5.39   0.73   5.90   0.19   8.53   0.86    6.76   0.21  0.126  0.012
SPT-CLJ2043-5035     2.03   4.17   0.64   5.72   0.10   4.01   0.66    6.12   0.12  0.066  0.010
SPT-CLJ2106-5844     1.83   7.14   0.85   10.56  0.21   8.53   1.04    11.41  0.27  0.075  0.009
SPT-CLJ2135-5726     3.20   5.26   0.70   5.29   0.19   5.09   0.59    5.80   0.20  0.088  0.010
SPT-CLJ2145-5644     3.03   5.82   0.75   8.28   0.17   4.17   0.62    8.70   0.18  0.048  0.007
SPT-CLJ2146-4633     1.82   4.89   0.66   5.94   0.13   4.22   0.71    6.36   0.15  0.066  0.011
SPT-CLJ2148-6116     2.38   4.07   0.61   5.33   0.12   4.88   1.53    5.82   0.20  0.084  0.024
SPT-CLJ2218-4519     2.28   4.70   0.66   5.60   0.13   5.35   0.73    6.14   0.15  0.087  0.011
SPT-CLJ2222-4834     2.28   4.77   0.66   5.12   0.15   3.07   0.54    5.42   0.16  0.057  0.009
SPT-CLJ2232-5959     2.45   4.87   0.69   5.35   0.16   6.82   1.05    6.04   0.19  0.113  0.016
SPT-CLJ2233-5339     2.85   4.80   0.69   6.13   0.23   4.21   0.60    6.55   0.23  0.064  0.009
SPT-CLJ2236-4555     1.46   3.80   0.56   3.88   0.13   4.28   0.61    4.30   0.15  0.099  0.013
SPT-CLJ2245-6206     2.47   4.75   0.67   7.40   0.16   7.87   1.21    8.18   0.20  0.096  0.013
SPT-CLJ2248-4431     5.04   13.05  1.54   21.15  0.22   8.62   0.88    22.01  0.24  0.039  0.004
SPT-CLJ2258-4044     2.00   5.18   0.68   5.47   0.19   NaN    NaN     NaN    NaN   NaN    NaN
SPT-CLJ2259-6057     2.10   4.93   0.67   5.65   0.11   4.11   0.57    6.06   0.12  0.068  0.009
SPT-CLJ2301-4023     2.05   4.37   0.63   2.81   0.13   2.49   0.56    3.06   0.14  0.081  0.017
SPT-CLJ2306-6505     2.69   5.04   0.69   6.70   0.17   5.16   0.64    7.21   0.18  0.072  0.008
SPT-CLJ2325-4111     3.90   6.33   0.81   8.57   0.24   8.64   1.04    9.44   0.26  0.092  0.010
SPT-CLJ2331-5051     2.51   4.89   0.65   5.38   0.16   4.68   0.63    5.85   0.17  0.080  0.010
SPT-CLJ2335-4544     2.69   5.37   0.71   7.64   0.19   6.25   0.85    8.26   0.21  0.076  0.010
SPT-CLJ2337-5942     2.31   7.05   0.85   8.22   0.34   6.51   0.92    8.87   0.35  0.073  0.010
SPT-CLJ2341-5119     1.74   4.94   0.63   5.77   0.15   5.05   0.82    6.27   0.17  0.081  0.012
SPT-CLJ2342-5411     1.51   3.70   0.53   2.76   0.10   3.08   0.68    3.07   0.12  0.100  0.020
SPT-CLJ2344-4243     3.07   9.60   1.14   13.82  0.14   7.56   1.03    14.58  0.11  0.052  0.007
SPT-CLJ2345-6405     1.78   4.65   0.63   4.87   0.24   5.06   0.91    5.38   0.25  0.094  0.016
SPT-CLJ2352-4657     2.00   4.09   0.62   3.66   0.14   5.63   0.85    4.23   0.16  0.133  0.018
SPT-CLJ2355-5055     3.58   3.78   0.61   4.06   0.08   2.75   0.58    4.33   0.10  0.063  0.013
SPT-CLJ2359-5009     1.82   3.44   0.55   3.11   0.09   NaN    NaN     NaN    NaN   NaN    NaN
SPT-CLJ0106-5943     3.76   5.33   0.73   5.67   0.13   4.68   1.49    6.13   0.20  0.076  0.022
