#Table 3 from Ettori et al. 2011  https://arxiv.org/pdf/1009.3266
#1_r_200[kpc] 1_r_200_err  1_r500[kpc] 1_r500_err 1_fgas 1_fgas_err 2_r_200[kpc] 2_r_200_err 2_r500[kpc] 2_r500_err 2_fgas 2_fgas_err 

1231  65 824  38 0.117  0.049 1360  122 899  50 0.097  0.010
1589  88 1044  41 0.146  0.017 1773  155 1130  75 0.126  0.015
1894  84 1228  45 0.140  0.012 1823  87 1184  40 0.147  0.008
980  59 666  37 0.143  0.020 1071  39 721  29 0.123  0.008
2491  140 1569  75 0.073  0.007 1957  108 1267  114 0.123  0.016
1668  65 1039  38 0.105  0.009 1309  159 845  98 0.120  0.015
1298  52 846  30 0.131  0.027 1452  36 942  26 0.101  0.006
1416  95 940  54 0.142  0.074 1502  107 991  81 0.122  0.015
1635  55 1047  31 0.086  0.012 1551  27 1003  23 0.095  0.005
1399  35 923  19 0.146  0.009 1531  72 996  21 0.119  0.007
1772  57 1140  31 0.091  0.007 1645  13 1061  7 0.105  0.002
1991  159 1275  84 0.099  0.018 1900  167 1222  132 0.107  0.024
1613  64 1057  29 0.133  0.012 1643  49 1071  25 0.125  0.006
2023  228 1329  124 0.062  0.016 2182  200 1415  82 0.060  0.009
1837  64 1207  21 0.161  0.010 1809  58 1188  28 0.167  0.007
1792  155 1110  80 0.132  0.044 2008  269 1187  109 0.114  0.020
1921  161 1251  85 0.105  0.057 1882  168 1219  81 0.116  0.013
2450  79 1549  44 0.115  0.008 2319  33 1477  47 0.126  0.007
2183  174 1366  87 0.086  0.013 2191  174 1363  106 0.087  0.014
2237  293 1474  164 0.079  0.067 2377  294 1542  159 0.085  0.025
1935  56 1245  32 0.136  0.014 2067  70 1323  16 0.120  0.004
1919  133 1243  65 0.161  0.020 1811  183 1174  83 0.177  0.022
1671  120 1100  53 0.159  0.019 1820  120 1122  66 0.154  0.016
1892  40 1279  24 0.156  0.008 1946  54 1304  21 0.151  0.005
1577  79 1015  39 0.121  0.042 1697  100 1090  17 0.101  0.005
2006  125 1267  57 0.146  0.015 1873  197 1196  54 0.160  0.013
1750  95 1153  50 0.137  0.015 1586  74 1049  36 0.164  0.011
2100  257 1350  130 0.116  0.041 1959  170 1140  92 0.156  0.019
1644  105 1079  52 0.212  0.025 1575  88 1028  39 0.213  0.012
2735  63 1695  36 0.108  0.013 3484  67 2026  57 0.079  0.005
2374  36 1478  22 0.114  0.018 2259  103 1417  72 0.118  0.013
1711  60 1099  30 0.165  0.012 1619  63 1042  16 0.177  0.006
2433  86 1540  46 0.120  0.012 2539  100 1583  34 0.109  0.006
2030  199 1302  103 0.105  0.017 1695  78 1114  59 0.147  0.017
2293  127 1457  71 0.079  0.008 2549  165 1489  155 0.082  0.020
1484  46 980  26 0.160  0.013 1445  59 954  14 0.163  0.006
1779  192 1178  96 0.148  0.027 1894  278 1225  173 0.141  0.033
2191  179 1347  93 0.116  0.016 1888  301 1203  122 0.148  0.024
1784  179 1186  102 0.141  0.027 1835  233 1207  105 0.136  0.019
2230  141 1380  71 0.123  0.013 1798  167 1152  137 0.178  0.032
1875  49 1206  26 0.159  0.010 2040  77 1293  22 0.135  0.005
1604  157 1068  82 0.176  0.032 1472  95 982  133 0.199  0.033
2029  246 1273  114 0.127  0.022 1767  112 1135  57 0.157  0.013
2121  206 1325  93 0.155  0.023 2513  271 1475  97 0.120  0.015
