#Table 2 from Ettori et al. 2011, https://arxiv.org/pdf/1009.3266,
#Method 1: rs(kpc)	rs_err_up	rs_err_low	c200	c200_err_up	c200_err_low	M200(10^14Msun)	M200_err_up	M200_err_low

143	36	-28	8.06	1.5	-1.2	1.90	0.23	-0.23
261	108	-50	5.59	1.33	-1.33	3.88	0.50	-0.50
390	89	-64	4.47	0.67	-0.64	6.61	0.73	-0.73
71	30	-19	12.77	3.80	-3.18	0.94	0.16	-0.16
979	7	-317	2.46	0.81	-0.06	17.64	2.17	-2.17
563	1	-114	2.75	0.49	-0.06	4.73	0.42	-0.42
251	41	-28	4.79	0.43	-0.49	2.21	0.21	-0.21
185	67	-42	7.06	1.64	-1.54	2.84	0.41	-0.41
496	60	-36	3.15	0.19	-0.24	4.88	0.37	-0.37
286	23	-27	4.56	0.34	-0.25	2.86	0.18	-0.18
564	66	-49	3.02	0.20	-0.22	6.40	0.48	-0.48
597	184	-166	3.16	0.85	-0.55	8.76	1.62	-1.62
369	47	-39	4.10	0.34	-0.34	4.51	0.36	-0.36
473	245	-154	4.17	1.41	-1.07	10.03	2.67	-2.67
287	23	-32	5.83	0.57	-0.35	6.12	0.32	-0.32
742	80	-370	2.23	1.63	-0.21	5.96	1.12	-1.12
443	253	-71	4.10	0.59	-1.17	7.89	1.51	-1.51
816	137	0	2.81	0.02	-0.28	15.93	1.19	-1.19
872	260	-183	2.39	0.42	-0.39	11.94	2.0	-2.0
506	261	-220	4.28	2.31	-1.16	13.42	4.15	-4.15
462	59	-25	3.86	0.15	-0.30	7.56	0.53	-0.53
380	135	-89	4.58	1.06	-0.96	7.08	1.12	-1.12
243	95	-79	6.26	2.46	-1.48	4.76	0.74	-0.74
211	22	-19	8.31	0.64	-0.63	7.36	0.44	-0.44
435	95	0	3.40	0.03	-0.42	4.43	0.37	-0.37
604	272	-133	3.03	0.67	-0.77	8.60	1.23	-1.23
377	107	-83	4.35	0.94	-0.76	6.17	0.83	-0.83
605	408	-233	3.27	1.49	-1.05	10.94	3.12	-3.12
192	194	-49	7.50	2.38	-3.41	4.25	0.74	-0.74
1258	6	-0	2.06	0.12	-0.04	24.71	1.16	-1.16
993	0	-48	2.24	0.08	-0.02	15.88	0.45	-0.45
418	68	-37	3.71	0.27	-0.38	5.40	0.44	-0.44
866	46	-143	2.64	0.34	-0.09	17.53	1.41	-1.41
611	297	-175	3.15	0.88	-0.78	10.44	2.39	-2.39
834	0	-257	2.65	0.82	-0.06	15.96	1.97	-1.97
214	26	-22	6.32	0.53	-0.51	3.66	0.29	-0.29
332	342	-154	4.99	3.52	-2.18	6.81	1.91	-1.91
1115	14	-497	1.85	1.04	-0.09	13.21	2.33	-2.33
278	170	-98	5.97	2.3	-1.82	6.88	1.83	-1.83
1172	0	-1172	1.8	0.66	-0.91	14.28	1.90	-1.90
510	61	-31	3.37	0.2	-0.26	7.79	0.49	-0.49
186	196	-81	7.80	5.05	-3.37	4.70	1.24	-1.24
797	494	-309	2.43	1.16	-0.76	11.31	2.50	-2.50
