#Table 2 from Ettori et al. 2011, https://arxiv.org/pdf/1009.3266,
Method 2: rs(kpc)	rs_err_up	rs_err_low	c200	c200_err_up	c200_err_low	M200(10^14Msun)	M200_err_up	M200_err_low

227	77	-77	5.67	1.49	-1.49	2.66	0.76	-0.76
517	211	-211	3.18	0.79	-0.79	5.56	1.73	-1.73
345	66	-66	4.82	0.94	-0.94	5.74	0.86	-0.86
104	17	-17	9.54	0.84	-0.84	1.26	0.16	-0.16
436	110	-110	4.16	0.68	-0.68	7.62	1.47	-1.47
245	139	-139	4.91	2.00	-2.00	2.22	0.95	-0.95
335	22	-22	4.08	0.26	-0.26	3.28	0.2	-0.2
240	92	-92	5.81	1.05	-1.05	3.49	0.98	-0.98
422	19	-19	3.50	0.13	-0.13	4.12	0.22	-0.22
388	63	-63	3.71	0.42	-0.42	3.88	0.58	-0.58
432	8	-8	3.59	0.05	-0.05	4.86	0.13	-0.13
524	175	-175	3.41	0.78	-0.78	7.46	2.29	-2.29
380	43	-43	4.04	0.32	-0.32	4.73	0.46	-0.46
599	205	-205	3.54	0.82	-0.82	12.50	3.7	-3.7
280	40	-40	5.84	0.60	-0.60	5.73	0.65	-0.65
1365	578	-578	1.37	1.40	-1.40	8.59	3.01	-3.01
445	158	-158	3.95	0.95	-0.95	7.18	2.20	-2.20
696	30	-30	3.09	0.09	-0.09	13.19	0.64	-0.64
942	22	-22	2.21	0.37	-0.37	12.03	3.2	-3.2
648	271	-271	3.52	1.23	-1.23	15.72	6.11	-6.11
589	70	-70	3.28	0.44	-0.44	9.57	1.02	-1.02
323	174	-174	5.01	1.76	-1.76	5.69	2.14	-2.14
404	129	-129	4.14	0.62	-0.62	6.35	1.57	-1.57
238	28	-28	7.51	0.66	-0.66	7.88	0.75	-0.75
505	81	-81	3.18	0.68	-0.68	5.71	0.91	-0.91
504	31	-31	3.35	0.92	-0.92	6.77	2.87	-2.87
233	58	-58	6.19	1.06	-1.06	4.20	0.72	-0.72
489	188	-188	3.70	0.61	-0.61	8.42	2.88	-2.88
165	91	-91	8.23	1.76	-1.76	3.62	0.77	-0.77
2973	13	-13	1.13	0.03	-0.03	53.68	3.48	-3.48
867	11	-11	2.43	0.27	-0.27	13.51	1.92	-1.92
350	55	-55	4.14	0.46	-0.46	4.39	0.61	-0.61
1122	157	-157	2.14	0.16	-0.16	20.29	2.89	-2.89
301	69	-69	5.18	0.66	-0.66	5.57	0.94	-0.94
1262	234	-234	1.94	0.25	-0.25	21.78	4.20	-4.20
210	35	-35	6.25	0.54	-0.54	3.35	0.5	-0.5
499	49	-49	3.52	1.11	-1.11	8.13	5.31	-5.31
563	525	-525	3.07	1.58	-1.58	7.82	5.26	-5.26
325	195	-195	5.22	1.36	-1.36	7.39	4.17	-4.17
515	257	-257	3.15	0.64	-0.64	6.53	2.71	-2.71
719	86	-86	2.64	0.26	-0.26	10.48	1.30	-1.30
142	85	-85	9.16	2.67	-2.67	3.44	0.88	-0.88
462	261	-261	3.49	0.84	-0.84	6.46	1.45	-1.45
1839	629	-629	1.27	0.84	-0.84	19.82	5.26	-5.26
