#Table 6 and 7 from Gonzalez et al. 2013 (https://arxiv.org/pdf/1309.3565.pdf)
#Abell_ID f_gas error_f_gas f_star error_f_star f_baryons error_f_baryons M_500(1e14 Msun) r_500 error_r_500
0122 0.094   .013 0.026  .003 0.120   .013  2.35  .20  0.93  .03
1651 0.139   .013 0.012  .001 0.151   .013  5.37  .43  1.23  .03
2401 0.095   .014 0.026  .003 0.121   .014  0.99  .11  0.71  .03
2721 0.134   .021 0.016  .002 0.150   .021  3.60  .33  1.07  .03
2811 0.132   .011 0.013  .002 0.145   .012  3.73  .29  1.08  .03
2955 0.071   .010 0.031  .004 0.103   .011  1.03  .12  0.71  .03
2984 0.117   .015 0.041  .005 0.159   .016  0.99  .10  0.70  .02
3112 0.142   .010 0.022  .002 0.163   .010  3.37  .20  1.06  .02
3693 0.117   .014 0.024  .003 0.141   .014  2.36  .24  0.93  .03
4010 0.127   .011 0.023  .003 0.150   .012  2.51  .19  0.95  .02
0084 0.094   .012 0.024  .003 0.118   .011  2.47  .25  0.94  .03
0296 0.081   .013 0.020  .003 0.101   .014  1.51  .21  0.81  .04
