# Table 11 from Landry et al 2012
#\underline{A115}
 Vikh  134.5  13.7 12.7    1.57  0.28 0.25    1.45  0.49 0.37    0.108  0.015 0.013   360.4  21.4 19.2    8.65  0.84 0.71    5.58  1.06 0.84    0.155  0.013 0.012
 Poly  139.7  4.0 4.2    1.68  0.09 0.09    1.62  0.15 0.14    0.103  0.005 0.004   318.7  11.3 11.7    7.08  0.42 0.41    3.86  0.42 0.41    0.184  0.010 0.009
#\underline{A1423}
 Vikh  126.7  7.0 7.8    1.59  0.15 0.16    1.48  0.26 0.25    0.108  0.009 0.007   274.0  18.8 16.8    5.73  0.58 0.49    2.99  0.66 0.52    0.192  0.020 0.019
 Poly  130.8  4.0 4.3    1.69  0.09 0.09    1.63  0.16 0.15    0.104  0.005 0.004   267.3  10.7 10.5    5.49  0.31 0.29    2.78  0.35 0.31    0.198  0.014 0.012
#\underline{A1576}
 Vikh  114.8  8.5 9.8    2.23  0.28 0.29    2.15  0.52 0.50    0.104  0.014 0.010   239.6  20.2 22.0    7.01  0.78 0.79    3.91  1.07 0.98    0.179  0.033 0.024
 Poly  114.5  6.5 6.7    2.28  0.22 0.21    2.14  0.38 0.35    0.107  0.010 0.008   242.5  15.8 15.6    7.26  0.56 0.57    4.05  0.84 0.73    0.179  0.024 0.020
#\underline{A1682}
 Vikh  127.4  10.1 11.0    1.66  0.26 0.27    1.75  0.45 0.42    0.095  0.010 0.008   274.7  24.0 23.0    6.41  0.74 0.71    3.50  1.00 0.81    0.183  0.029 0.024
 Poly  122.0  6.5 6.6    1.54  0.16 0.16    1.53  0.26 0.23    0.101  0.006 0.006   299.4  16.9 18.2    7.18  0.53 0.59    4.53  0.81 0.78    0.159  0.017 0.014
#\underline{A1758}
 Vikh  130.7  20.3 22.5    3.12  0.96 0.96    3.17  1.72 1.37    0.098  0.022 0.015   334.8  39.9 42.6    13.84  2.25 2.22    10.66  4.28 3.57    0.130  0.034 0.023
 Poly  130.3  10.2 18.6    3.09  0.49 0.80    3.14  0.79 1.16    0.098  0.017 0.008   370.1  21.8 42.5    14.84  0.92 1.75    14.41  2.70 4.42    0.104  0.028 0.013
#\underline{A1763}
 Vikh  140.0  8.9 9.0    2.65  0.31 0.28    2.24  0.46 0.40    0.119  0.011 0.009   348.6  25.3 24.7    11.65  1.12 1.10    6.91  1.61 1.37    0.169  0.022 0.019
 Poly  139.7  6.8 4.6    2.68  0.23 0.15    2.22  0.34 0.21    0.120  0.005 0.007   330.0  13.6 10.3    10.72  0.57 0.43    5.86  0.75 0.53    0.183  0.010 0.012
#\underline{A1835}
 Vikh  161.7  6.5 7.2    4.60  0.23 0.25    4.74  0.60 0.61    0.097  0.008 0.007   323.2  8.6 8.6    10.75  0.28 0.29    7.56  0.62 0.59    0.142  0.008 0.007
 Poly  143.8  2.8 2.9    4.00  0.10 0.10    3.33  0.20 0.20    0.120  0.004 0.004   309.6  8.2 8.0    10.36  0.27 0.27    6.65  0.54 0.50    0.156  0.008 0.008
#\underline{A1914}
 Vikh  216.7  7.5 7.5    4.71  0.21 0.21    4.22  0.45 0.42    0.112  0.007 0.007   444.0  23.2 25.6    10.74  0.56 0.61    7.25  1.20 1.19    0.148  0.019 0.015
 Poly  219.4  7.7 7.8    4.82  0.25 0.25    4.37  0.48 0.45    0.110  0.007 0.006   487.5  32.7 35.5    11.30  0.58 0.60    9.59  2.07 1.94    0.118  0.022 0.017
#\underline{A2111}
 Vikh  129.9  10.8 8.7    1.96  0.28 0.23    1.91  0.51 0.36    0.103  0.009 0.010   296.8  19.5 17.0    7.68  0.69 0.62    4.56  0.96 0.74    0.168  0.017 0.017
 Poly  121.1  4.9 5.0    1.74  0.13 0.13    1.55  0.20 0.18    0.112  0.005 0.005   305.3  11.9 13.2    8.04  0.42 0.48    4.96  0.60 0.61    0.162  0.012 0.010
#\underline{A2204}
 Vikh  244.9  6.1 6.0    4.75  0.15 0.15    4.45  0.34 0.32    0.107  0.005 0.004   486.6  16.2 15.6    11.36  0.41 0.39    6.98  0.72 0.65    0.163  0.010 0.010
 Poly  233.7  4.0 4.0    4.50  0.10 0.10    3.87  0.20 0.20    0.116  0.004 0.003   496.3  11.9 10.4    11.58  0.30 0.27    7.40  0.55 0.46    0.156  0.007 0.007
#\underline{A2219}
 Vikh  169.3  6.4 6.6    5.70  0.39 0.39    4.07  0.48 0.46    0.140  0.007 0.007   348.6  18.0 18.6    16.77  1.17 1.17    7.11  1.16 1.08    0.236  0.023 0.019
 Poly  166.2  5.0 5.3    5.52  0.32 0.32    3.85  0.36 0.35    0.143  0.006 0.005   369.6  16.8 16.6    18.21  1.02 1.00    8.48  1.21 1.09    0.215  0.018 0.017
#\underline{A2261}
 Vikh  154.5  7.7 6.7    3.63  0.25 0.21    3.04  0.48 0.38    0.119  0.009 0.009   319.3  18.8 23.4    9.79  0.65 0.79    5.37  1.01 1.10    0.182  0.028 0.019
 Poly  144.4  5.4 5.3    3.32  0.17 0.16    2.48  0.29 0.26    0.134  0.008 0.008   308.0  13.7 14.4    9.37  0.48 0.50    4.82  0.67 0.65    0.194  0.018 0.015
#\underline{A2390}
 Vikh  188.7  12.1 11.8    5.71  0.57 0.54    6.11  1.25 1.07    0.093  0.009 0.008   387.7  34.0 35.3    13.84  1.21 1.24    10.60  3.04 2.64    0.131  0.028 0.020
 Poly  180.2  7.2 7.3    5.33  0.35 0.33    5.32  0.66 0.62    0.100  0.006 0.006   372.0  24.6 21.6    13.33  0.84 0.76    9.36  1.98 1.54    0.142  0.018 0.018
#\underline{A2552}
 Vikh  115.9  8.1 9.5    3.05  0.35 0.39    2.67  0.60 0.60    0.114  0.014 0.011   247.2  13.7 16.4    9.66  0.70 0.81    5.19  0.91 0.96    0.186  0.023 0.017
 Poly  109.5  4.6 6.0    2.80  0.19 0.25    2.25  0.29 0.35    0.124  0.010 0.007   254.2  10.2 13.3    9.97  0.53 0.66    5.64  0.71 0.84    0.177  0.017 0.012
#\underline{A2631}
 Vikh  117.7  7.5 8.7    2.87  0.33 0.36    2.30  0.47 0.47    0.125  0.012 0.009   273.4  17.9 20.3    10.13  0.67 0.78    5.75  1.21 1.18    0.176  0.029 0.021
 Poly  117.4  6.5 6.7    2.87  0.28 0.29    2.28  0.40 0.37    0.126  0.009 0.008   282.0  21.2 17.8    10.50  0.67 0.62    6.31  1.54 1.12    0.166  0.024 0.024
#\underline{A267}
 Vikh  115.4  9.3 10.4    1.61  0.19 0.19    1.37  0.36 0.34    0.117  0.020 0.014   251.5  16.9 18.6    4.82  0.33 0.34    2.83  0.61 0.58    0.170  0.029 0.021
 Poly  108.5  4.3 4.7    1.49  0.09 0.10    1.14  0.14 0.14    0.131  0.009 0.008   224.3  13.9 13.5    4.36  0.27 0.27    2.01  0.40 0.34    0.217  0.029 0.025
#\underline{A520}
 Vikh  166.5  6.0 7.2    3.16  0.22 0.25    2.82  0.31 0.35    0.112  0.006 0.005   367.1  9.3 9.2    10.71  0.30 0.29    6.04  0.47 0.44    0.177  0.009 0.009
 Poly  128.9  4.3 4.4    1.83  0.12 0.13    1.31  0.13 0.13    0.140  0.005 0.005   393.9  11.7 12.0    11.90  0.36 0.39    7.47  0.69 0.66    0.159  0.010 0.009
#\underline{A586}
 Vikh  176.8  4.0 4.2    2.26  0.06 0.07    2.28  0.16 0.16    0.099  0.004 0.004   354.3  17.3 19.4    5.69  0.29 0.33    3.67  0.56 0.57    0.155  0.018 0.014
 Poly  177.9  5.5 5.8    2.30  0.09 0.09    2.32  0.22 0.22    0.099  0.006 0.005   357.1  14.7 15.7    5.66  0.24 0.24    3.76  0.48 0.47    0.151  0.014 0.012
#\underline{A611}
 Vikh  125.3  8.3 10.1    2.79  0.26 0.29    3.02  0.64 0.67    0.092  0.014 0.009   285.3  22.2 20.9    8.36  0.52 0.60    7.13  1.80 1.45    0.118  0.019 0.019
 Poly  124.9  8.2 7.4    2.81  0.25 0.22    2.99  0.63 0.50    0.094  0.010 0.010   269.3  27.0 28.0    7.71  0.73 0.83    6.00  1.99 1.69    0.128  0.032 0.023
#\underline{A665}
 Vikh  166.4  11.5 8.0    2.22  0.29 0.19    2.23  0.50 0.31    0.100  0.006 0.008   464.9  29.8 33.6    11.82  0.87 1.02    9.74  1.99 1.96    0.121  0.017 0.013
 Poly  178.5  5.1 6.2    2.56  0.13 0.16    2.76  0.24 0.28    0.093  0.004 0.003   412.7  16.9 15.6    9.87  0.55 0.51    6.81  0.87 0.74    0.145  0.009 0.009
#\underline{A68}
 Vikh  137.7  10.7 12.0    3.09  0.36 0.39    2.96  0.75 0.71    0.105  0.016 0.012   305.3  38.0 33.8    8.31  0.83 0.81    6.46  2.73 1.91    0.129  0.037 0.031
 Poly  141.2  8.6 8.6    3.24  0.30 0.30    3.20  0.62 0.55    0.101  0.010 0.009   290.5  32.1 25.3    7.92  0.60 0.55    5.57  2.06 1.33    0.143  0.032 0.032
#\underline{A697}
 Vikh  135.3  10.4 11.1    4.58  0.59 0.62    3.61  0.90 0.82    0.127  0.015 0.013   309.9  26.5 30.2    15.48  1.68 1.83    8.68  2.43 2.30    0.178  0.035 0.024
 Poly  130.7  6.7 7.8    4.32  0.38 0.44    3.26  0.53 0.55    0.133  0.011 0.009   326.8  20.4 18.3    16.60  1.22 1.12    10.18  2.03 1.62    0.163  0.019 0.018
#\underline{A773}
 Vikh  144.0  7.5 6.7    2.71  0.20 0.19    2.27  0.38 0.30    0.119  0.009 0.009   319.8  14.8 13.4    8.60  0.48 0.44    4.98  0.73 0.60    0.173  0.014 0.014
