# Tables 1 and 2 of Mulroy et al. 2019 (https://arxiv.org/pdf/1901.11276)
# Columns:
# 1) name
# 2) z
# 3) Lx_rass
# 4) Lx_rass_err_plus
# 5) Lx_rass_err_minus
# 6) M_wl
# 7) M_wl_err_plus
# 8) M_wl_err_minus
# 9) M_post
#10) M_post_err_plus
#11) M_post_err_minus
#12) Lx_ce
#13) Lx_ce_err_plus
#14) Lx_ce_err_minus
#15) kBTx
#16) kBTx_err_plus
#17) kBTx_err_minus
#18) Mgas
#19) Mgas_err_plus
#20) Mgas_err_minus
#21) Lambda
#22) Lambda_err_plus
#23) Lambda_err_minus

# name z Lx_rass Lx_rass_err_plus Lx_rass_err_minus M_wl M_wl_err_plus M_wl_err_minus M_post M_post_err_plus M_post_err_minus Lx_ce Lx_ce_err_plus Lx_ce_err_minus kBTx kBTx_err_plus kBTx_err_minus Mgas Mgas_err_plus Mgas_err_minus Lambda Lambda_err_plus Lambda_err_minus
Abell2697 0.2320 6.88 0.85 0.85 6.61 1.20 1.21 5.98 0.57 0.53 11.68 0.44 0.44 6.99 0.48 0.38 0.90 0.07 0.07 91.44 4.37 4.37
Abell0068 0.2546 9.47 2.61 2.61 6.82 1.11 1.01 6.38 0.52 0.50 9.91 0.59 0.59 7.66 0.77 0.62 0.80 0.04 0.04 93.04 4.60 4.60
Abell0115 0.1971 8.90 2.13 2.13 5.39 1.62 1.49 6.13 0.90 0.82 10.68 0.40 0.40 5.93 0.39 0.32 0.87 0.15 0.15 nan nan nan
Abell0141 0.2300 5.76 0.90 0.90 4.56 0.92 0.86 5.01 0.68 0.59 5.10 0.88 0.88 4.78 1.34 0.83 0.60 0.05 0.05 nan nan nan
Abell0209 0.2060 6.29 0.65 0.65 12.34 1.64 1.50 10.67 0.96 0.86 13.59 1.02 1.02 6.39 1.05 0.77 1.44 0.08 0.08 nan nan nan
Abell0267 0.2300 6.74 1.42 1.42 5.60 0.91 0.85 5.48 0.55 0.52 6.34 2.88 2.88 8.03 2.83 1.81 0.70 0.05 0.05 96.38 4.03 4.03
Abell0291 0.1960 4.88 0.56 0.56 4.46 1.02 0.95 2.99 0.37 0.33 3.37 0.08 0.08 4.03 0.32 0.29 0.47 0.04 0.04 53.86 2.75 2.75
Abell0521 0.2475 8.18 1.36 1.36 5.39 0.99 0.93 5.62 0.63 0.56 15.33 1.09 1.09 6.72 0.33 0.29 1.08 0.09 0.09 nan nan nan
Abell0586 0.1710 6.64 1.30 1.30 7.21 1.60 1.40 6.62 0.75 0.68 6.20 0.54 0.54 5.56 1.10 0.79 0.73 0.06 0.06 105.96 4.38 4.38
Abell0611 0.2880 8.86 2.53 2.53 9.11 1.67 1.56 6.42 0.70 0.63 12.00 0.94 0.94 11.96 2.50 2.40 0.69 0.05 0.05 100.90 4.64 4.64
Abell0697 0.2820 10.57 3.28 3.28 7.71 1.54 1.43 9.61 1.06 1.02 22.55 2.29 2.29 11.06 2.16 1.83 1.22 0.10 0.10 147.28 5.13 5.13
ZwCl0857.9+2107 0.2347 6.79 1.76 1.76 2.07 0.99 1.08 1.40 0.34 0.29 4.50 0.19 0.19 3.97 0.15 0.46 0.34 0.07 0.07 26.85 2.58 2.58
Abell0750 0.1630 6.59 1.40 1.40 6.15 1.71 1.35 6.19 1.10 0.98 2.89 0.20 0.20 3.95 0.49 0.39 0.55 0.06 0.06 139.58 4.40 4.40
Abell0773 0.2170 8.10 1.35 1.35 10.07 1.07 1.00 9.69 0.66 0.61 11.11 1.14 1.14 7.50 1.58 1.12 1.10 0.05 0.05 141.43 4.58 4.58
Abell0781 0.2984 11.29 2.82 2.82 4.75 1.72 1.89 7.07 1.45 1.25 4.16 1.92 1.92 5.92 2.40 1.36 0.74 0.12 0.12 180.62 6.08 6.08
ZwCl0949.6+5207 0.2140 6.60 1.15 1.15 4.97 1.13 1.04 3.06 0.40 0.36 4.52 0.99 0.99 7.31 0.94 0.89 0.40 0.04 0.04 44.37 3.38 3.38
Abell0907 0.1669 5.95 0.49 0.49 11.52 1.95 1.67 7.86 0.96 0.84 5.91 0.22 0.22 5.66 0.51 0.41 0.93 0.06 0.06 nan nan nan
Abell0963 0.2050 6.39 1.19 1.19 6.96 1.11 1.03 5.77 0.63 0.55 7.89 0.29 0.29 6.53 0.62 0.50 0.80 0.05 0.05 65.01 3.66 3.66
ZwCl1021.0+0426 0.2906 17.26 2.93 2.93 5.32 0.87 0.82 5.57 0.64 0.57 19.66 1.47 1.47 9.04 1.51 1.13 0.95 0.05 0.05 83.11 4.12 4.12
Abell1423 0.2130 6.19 1.34 1.34 4.44 0.89 0.81 3.97 0.47 0.42 7.35 0.68 0.68 8.20 1.54 1.16 0.62 0.06 0.06 59.00 3.77 3.77
Abell1451 0.1992 7.63 1.63 1.63 8.17 1.04 0.96 7.87 0.75 0.67 6.13 1.31 1.31 8.87 1.45 1.10 1.02 0.05 0.05 nan nan nan
ZwCl1231.4+1007 0.2290 6.32 1.58 1.58 4.61 1.44 1.47 5.02 0.77 0.72 7.87 0.66 0.66 6.56 1.20 0.89 0.69 0.11 0.11 93.13 4.41 4.41
Abell1682 0.2260 7.02 1.37 1.37 8.52 1.06 0.99 7.84 0.75 0.68 4.99 2.00 2.00 6.46 2.98 1.49 0.84 0.04 0.04 118.56 4.51 4.51
Abell1689 0.1832 14.07 1.13 1.13 12.57 1.53 1.40 12.00 0.97 0.90 15.81 0.55 0.55 9.71 0.64 0.51 1.31 0.05 0.05 163.62 4.13 4.13
Abell1763 0.2279 9.32 1.33 1.33 15.80 2.16 1.94 13.70 1.40 1.23 15.20 1.56 1.56 7.67 1.64 1.32 1.61 0.09 0.09 172.16 5.30 5.30
Abell1835 0.2528 24.48 3.35 3.35 10.97 1.56 1.44 11.03 0.93 0.84 22.22 0.79 0.79 10.16 0.68 0.55 1.43 0.07 0.07 134.55 4.89 4.89
Abell1914 0.1712 10.98 1.11 1.11 7.83 1.35 1.24 8.30 0.86 0.81 17.08 1.36 1.36 10.06 1.47 1.22 1.11 0.07 0.07 110.67 3.61 3.61
ZwCl1454.8+2233 0.2578 8.41 2.10 2.10 3.74 1.46 1.44 2.98 0.46 0.42 6.66 0.27 0.27 4.74 0.42 0.34 0.54 0.08 0.08 48.09 3.23 3.23
Abell2009 0.1530 5.37 0.99 0.99 6.39 1.45 1.25 4.73 0.54 0.48 6.05 0.63 0.63 7.44 1.56 1.16 0.69 0.05 0.05 73.70 3.21 3.21
RXCJ1504.1-0248 0.2153 28.07 1.49 1.49 6.54 1.48 1.32 6.19 0.95 0.79 16.65 1.86 1.86 9.55 2.23 1.52 1.06 0.08 0.08 61.06 3.79 3.79
Abell2111 0.2290 6.83 1.65 1.65 5.09 1.39 1.21 5.84 0.76 0.67 5.93 2.76 2.76 7.21 2.28 1.52 0.68 0.08 0.08 138.66 4.96 4.96
Abell2204 0.1524 12.50 1.34 1.34 9.92 1.82 1.59 10.11 1.01 0.94 15.84 0.66 0.66 13.38 1.15 0.76 1.23 0.08 0.08 nan nan nan
Abell2219 0.2281 12.73 1.37 1.37 8.65 1.34 1.29 10.76 1.02 0.93 32.91 2.60 2.60 10.13 0.83 0.70 1.68 0.11 0.11 169.10 5.10 5.10
RXJ1720.1+2638 0.1640 9.57 1.07 1.07 4.94 1.38 1.17 4.55 0.65 0.58 9.63 0.57 0.57 7.14 0.91 0.73 0.71 0.07 0.07 63.89 2.97 2.97
Abell2261 0.2240 11.31 1.55 1.55 10.75 1.30 1.20 10.41 0.92 0.83 13.04 1.12 1.12 7.50 1.30 1.09 1.23 0.06 0.06 142.94 4.89 4.89
RXCJ2102.1-2431 0.1880 5.07 0.55 0.55 3.71 0.87 0.79 3.03 0.41 0.37 4.62 0.12 0.12 5.32 0.46 0.37 0.46 0.05 0.05 nan nan nan
RXJ2129.6+0005 0.2350 11.66 2.92 2.92 3.46 1.14 1.22 4.02 0.57 0.53 10.65 0.65 0.65 5.94 0.75 0.61 0.67 0.10 0.10 71.30 3.97 3.97
Abell2390 0.2329 13.43 3.14 3.14 10.53 1.52 1.41 10.36 1.08 0.96 25.43 1.16 1.16 10.79 0.95 0.84 1.66 0.09 0.09 121.10 4.89 4.89
Abell2537 0.2966 10.17 1.45 1.45 8.57 2.03 1.82 7.77 0.99 0.89 6.63 0.72 0.72 9.93 3.73 2.44 0.83 0.08 0.08 146.22 5.08 5.08
Abell2552 0.2998 9.94 2.84 2.84 7.16 1.88 1.69 7.36 0.88 0.78 13.46 1.77 1.77 9.69 2.75 1.94 1.00 0.10 0.10 148.78 6.27 6.27
Abell2631 0.2779 8.07 2.11 2.11 5.61 1.58 1.78 5.66 0.72 0.66 14.41 1.02 1.02 6.91 1.18 0.87 0.97 0.12 0.12 114.80 4.79 4.79
