#Table 4 from Vikhlinin et al. 2006 (https://iopscience.iop.org/article/10.1086/500288/pdf)#WARNING: arXiv version (https://arxiv.org/pdf/astro-ph/0507092.pdf) is different!
# 0 r500 (kpc),1 err_r500,2 T_spec(kev),3 err_T_spec,4 T_mg(kev),5 err_T_mg,6 conc500,7 err conc500,8 M2500 (10^14 Msun),9 errM2500,10 M500 (10^14 Msun),11 errM500,12 fgas2500,13 err fgas2500,14 fgas500,15 err fgas 500, 16 fgas2500-500, 17 err fgas2500-500 # Note — The derived quantities scale with the Hubble constant as r500 propto h^-1, M propto h^-1, and fgas propto h^-3/2 (h_fid=0.71)

1007  41	4.14  0.07	3.67  0.11	3.18  0.29	1.13  0.07	3.17  0.38	0.067  0.002	0.083  0.006	0.090
944  32	4.81  0.12	4.37  0.17	4.32  0.40	1.64  0.14	3.06  0.31	0.092  0.005	0.124  0.007	0.150
1337  58	7.94  0.12	7.36  0.32	3.57  0.27	4.12  0.26	7.68  1.01	0.098  0.004	0.120  0.011	0.133
1096  30	5.96  0.08	5.46  0.13	3.48  0.42	2.21  0.14	4.56  0.37	0.091  0.003	0.124  0.006	0.150
1299  43	7.38  0.11	6.81  0.19	2.93  0.17	3.01  0.18	7.57  0.76	0.094  0.003	0.107  0.007	0.116
1235  36	6.12  0.05	5.58  0.13	3.21  0.18	2.75  0.16	6.03  0.52	0.088  0.003	0.104  0.006	0.110
732  33	2.61  0.06	2.27  0.09	4.32  0.32	0.63  0.08	1.23  0.17	0.069  0.004	0.102  0.008	0.113
1362  43	8.47  0.09	7.63  0.18	4.04  0.21	4.26  0.28	8.01  0.74	0.091  0.003	0.123  0.007	0.147
1416  48	8.89  0.17	9.34  0.40	1.66  0.13	3.35  0.27	10.74  1.08	0.130  0.005	0.141  0.009	0.147
634  28	1.64  0.04	1.39  0.05	2.54  0.15	0.28  0.03	0.77  0.10	0.045  0.002	0.062  0.006	0.069
