#Table A.1. of Wicker et al 2022,  https://arxiv.org/pdf/2204.12823.pdf
#z	M_gas,500 ([×10^14Msun])	M_gas,500 (Err_plus)	M_gas,500 (Err_minus)	M_tot,500 ([×10^14Msun])	M_tot,500 (Err_plus)	M_tot,500 (Err_minus)	f_gas,500 (Value)	f_gas,500 (Err_plus)	f_gas,500 (Err_minus)

0.165	0.661	0.036	0.014	5.01	0.55	0.48	0.132	0.016	0.014
0.141	0.563	0.021	0.014	4.96	0.43	0.28	0.114	0.011	0.011
0.151	0.865	0.008	0.008	6.94	0.19	0.19	0.125	0.004	0.004
0.089	0.427	0.005	0.008	2.42	0.04	0.03	0.176	0.004	0.004
0.203	3.200	0.020	0.020	17.50	0.20	0.20	0.183	0.002	0.002
0.149	0.464	0.005	0.005	3.61	0.08	0.08	0.129	0.003	0.003
0.307	1.560	0.010	0.010	10.30	0.20	0.20	0.151	0.003	0.003
0.151	1.040	0.030	0.030	6.88	0.20	0.18	0.151	0.006	0.006
0.152	0.816	0.028	0.028	5.21	0.32	0.29	0.157	0.011	0.010
0.176	0.532	0.036	0.017	3.77	0.47	0.17	0.141	0.020	0.008
0.072	0.601	0.008	0.007	4.65	0.15	0.13	0.129	0.005	0.004
0.389	0.990	0.035	0.035	6.26	0.61	0.48	0.158	0.016	0.013
0.085	0.624	0.009	0.008	6.05	0.28	0.26	0.103	0.005	0.005
0.164	0.651	0.007	0.007	5.86	0.16	0.16	0.111	0.003	0.003
0.097	0.385	0.018	0.018	3.84	0.46	0.38	0.100	0.013	0.011
0.098	0.441	0.008	0.008	4.81	0.21	0.19	0.092	0.004	0.004
0.113	0.703	0.010	0.010	5.87	0.20	0.15	0.120	0.003	0.003
0.224	0.941	0.012	0.010	6.54	0.18	0.15	0.144	0.004	0.004
0.124	0.344	0.009	0.009	5.41	0.45	0.37	0.064	0.006	0.005
0.095	0.512	0.004	0.004	3.98	0.08	0.07	0.129	0.003	0.002
0.447	1.520	0.010	0.010	9.62	0.25	0.25	0.158	0.004	0.004
0.397	1.860	0.020	0.020	13.10	0.60	0.60	0.142	0.007	0.007
0.065	0.454	0.020	0.020	3.72	0.06	0.07	0.122	0.006	0.003
0.091	0.287	0.013	0.012	3.26	0.39	0.39	0.088	0.011	0.005
0.171	1.040	0.000	0.010	8.11	0.17	0.18	0.128	0.003	0.003
0.157	0.532	0.051	0.051	4.24	0.76	0.59	0.125	0.026	0.020
0.228	1.650	0.020	0.020	10.70	0.40	0.40	0.154	0.006	0.006
0.143	0.825	0.011	0.008	5.33	0.17	0.12	0.155	0.005	0.004
0.233	1.710	0.020	0.020	11.40	0.40	0.40	0.150	0.006	0.004
0.107	0.383	0.003	0.003	3.66	0.07	0.06	0.105	0.002	0.002
0.3	0.955	0.020	0.020	6.62	0.32	0.23	0.144	0.008	0.008
0.412	1.240	0.030	0.030	7.68	0.47	0.38	0.161	0.011	0.008
0.179	0.397	0.047	0.041	3.31	0.68	0.57	0.120	0.028	0.024
0.26	0.930	0.021	0.018	5.74	0.33	0.25	0.162	0.010	0.008
0.228	1.070	0.020	0.020	6.18	0.32	0.28	0.173	0.010	0.008
0.081	0.549	0.044	0.033	4.68	0.71	0.50	0.117	0.020	0.014
0.3	0.628	0.088	0.088	5.47	2.49	2.49	0.115	0.058	0.058
0.171	0.687	0.017	0.017	4.21	0.21	0.20	0.163	0.009	0.009
0.093	0.299	0.014	0.007	3.25	0.35	0.15	0.092	0.011	0.005
0.292	0.831	0.026	0.022	5.18	0.36	0.29	0.160	0.012	0.010
0.292	0.694	0.030	0.030	7.26	0.75	0.67	0.096	0.011	0.010
0.225	0.570	0.028	0.022	3.87	0.32	0.21	0.147	0.014	0.010
0.197	0.781	0.029	0.033	5.81	0.57	0.62	0.134	0.014	0.015
0.302	0.964	0.043	0.043	6.78	0.69	0.65	0.142	0.016	0.015
0.322	1.020	0.140	0.080	7.42	5.68	0.68	0.137	0.107	0.017
0.182	1.160	0.050	0.050	7.12	0.71	0.63	0.163	0.018	0.016
0.45	0.964	0.035	0.035	6.23	0.52	0.42	0.155	0.014	0.012
0.206	0.988	0.041	0.047	6.73	0.64	0.70	0.147	0.015	0.017
0.074	0.630	0.028	0.015	5.07	0.45	0.22	0.124	0.012	0.006
0.217	0.868	0.022	0.019	6.86	0.48	0.48	0.127	0.009	0.008
0.174	0.925	0.026	0.021	5.88	0.40	0.30	0.157	0.012	0.009
0.27	1.500	0.090	0.070	12.30	3.40	3.40	0.122	0.034	0.034
0.546	2.340	0.030	0.030	12.50	0.50	0.60	0.187	0.008	0.010
0.088	0.958	0.011	0.020	6.93	0.17	0.18	0.138	0.004	0.005
0.206	0.688	0.015	0.010	4.77	0.26	0.16	0.144	0.008	0.005
0.282	1.240	0.060	0.050	9.28	1.19	0.89	0.134	0.018	0.018
0.295	0.877	0.049	0.036	5.82	0.72	0.49	0.151	0.020	0.014
0.203	1.110	0.020	0.010	6.67	0.32	0.22	0.166	0.009	0.006
0.175	0.430	0.020	0.019	3.86	0.45	0.45	0.111	0.014	0.013
0.46	2.190	0.280	0.540	11.00	3.20	4.40	0.199	0.063	0.094
0.099	0.510	0.009	0.009	4.61	0.32	0.23	0.111	0.008	0.006
0.143	0.834	0.006	0.005	6.28	0.12	0.09	0.133	0.003	0.003
0.545	1.350	0.070	0.050	7.94	0.96	0.60	0.170	0.022	0.014
0.143	0.587	0.017	0.021	5.16	0.35	0.42	0.114	0.008	0.010
0.171	0.656	0.084	0.068	5.26	1.84	0.19	0.125	0.046	0.014
0.07	0.851	0.012	0.012	7.01	0.25	0.26	0.121	0.005	0.005
0.148	0.696	0.014	0.014	5.91	0.32	0.32	0.118	0.007	0.007
0.271	0.759	0.025	0.022	5.80	0.42	0.33	0.131	0.010	0.008
0.139	0.395	0.004	0.004	3.29	0.06	0.06	0.120	0.003	0.003
0.169	0.710	0.069	0.045	4.13	0.64	0.38	0.172	0.031	0.019
0.284	1.140	0.030	0.030	6.94	0.54	0.50	0.164	0.013	0.013
0.153	0.504	0.012	0.012	3.70	0.39	0.39	0.136	0.002	0.002
0.152	0.416	0.036	0.036	3.17	0.54	0.54	0.131	0.025	0.017
0.165	0.402	0.036	0.028	2.86	0.56	0.40	0.141	0.030	0.022
0.2	0.674	0.027	0.020	5.36	0.51	0.36	0.126	0.013	0.009
0.075	0.390	0.003	0.003	3.58	0.04	0.05	0.109	0.001	0.002
0.191	0.571	0.030	0.033	4.52	0.44	0.48	0.126	0.014	0.014
0.22	0.718	0.057	0.054	5.42	0.89	0.76	0.132	0.024	0.021
0.203	0.451	0.082	0.082	3.19	0.88	0.51	0.141	0.047	0.028
0.284	1.000	0.030	0.020	7.15	0.73	0.73	0.140	0.015	0.015
0.295	1.080	0.070	0.060	6.59	0.90	0.70	0.164	0.025	0.020
0.42	1.220	0.070	0.070	9.16	2.11	0.59	0.133	0.032	0.032
0.227	1.120	0.020	0.010	7.07	0.35	0.28	0.158	0.008	0.006
0.164	1.050	0.020	0.020	8.59	0.65	0.45	0.122	0.010	0.007
0.296	2.170	0.020	0.020	12.50	0.30	0.30	0.174	0.004	0.004
0.085	0.319	0.026	0.016	2.65	0.41	0.23	0.120	0.021	0.012
0.37	1.280	0.040	0.050	8.38	0.68	0.53	0.153	0.013	0.011
0.3	0.979	0.075	0.075	8.07	2.11	0.51	0.121	0.033	0.011
0.059	0.779	0.005	0.005	6.11	0.09	0.08	0.127	0.002	0.002
0.44	1.440	0.050	0.040	8.96	0.73	0.59	0.161	0.014	0.011
0.307	1.330	0.050	0.050	9.37	0.87	0.81	0.142	0.014	0.013
0.156	0.744	0.061	0.047	6.53	1.70	0.09	0.114	0.031	0.007
0.077	0.664	0.011	0.010	5.25	0.22	0.20	0.126	0.006	0.005
0.45	1.050	0.060	0.060	7.34	1.14	1.14	0.143	0.024	0.021
0.441	1.690	0.030	0.030	10.60	0.50	0.40	0.159	0.008	0.007
0.39	1.480	0.080	0.080	10.10	1.50	1.20	0.147	0.023	0.019
0.35	0.820	0.078	0.078	6.59	1.00	1.00	0.124	0.021	0.021
0.21	0.718	0.024	0.015	5.52	0.45	0.26	0.130	0.011	0.007
0.39	2.200	0.050	0.050	12.20	0.70	0.70	0.180	0.011	0.011
0.127	0.735	0.067	0.050	4.00	0.70	0.48	0.184	0.036	0.025
0.3	1.130	0.020	0.020	8.03	0.49	0.44	0.141	0.009	0.008
0.274	0.988	0.036	0.036	7.20	0.59	0.59	0.137	0.012	0.008
0.193	0.538	0.076	0.061	4.16	1.10	0.79	0.129	0.029	0.029
0.41	1.140	0.030	0.030	8.28	0.64	0.60	0.138	0.011	0.011
0.085	0.503	0.007	0.017	3.93	0.13	0.31	0.128	0.005	0.011
0.085	0.582	0.014	0.009	4.60	0.26	0.16	0.127	0.008	0.005
0.48	1.050	0.050	0.046	8.61	1.22	0.98	0.122	0.018	0.015
0.183	1.050	0.00	0.00	7.87	0.10	0.09	0.133	0.002	0.002
0.153	1.070	0.010	0.010	8.24	0.25	0.23	0.130	0.004	0.004
0.217	0.743	0.040	0.038	5.59	0.64	0.57	0.133	0.017	0.015
0.094	0.483	0.017	0.014	3.95	0.29	0.23	0.122	0.010	0.008
0.095	0.347	0.020	0.010	3.09	0.40	0.40	0.112	0.008	0.008
0.098	0.706	0.008	0.006	5.09	0.15	0.10	0.139	0.004	0.003
0.147	0.774	0.021	0.021	6.22	0.38	0.33	0.124	0.008	0.007
0.076	0.461	0.054	0.044	3.53	0.74	0.56	0.131	0.031	0.024
0.097	0.488	0.046	0.036	3.78	0.71	0.52	0.129	0.027	0.020
0.26	0.894	0.034	0.034	5.75	0.50	0.41	0.155	0.015	0.012
0.232	0.949	0.045	0.040	6.85	0.74	0.62	0.139	0.016	0.014
0.237	1.100	0.040	0.050	8.24	0.63	0.73	0.133	0.011	0.013
0.347	2.230	0.040	0.040	13.50	0.60	0.60	0.165	0.008	0.008
