# Data from Tables 1 and 2 of Zhang et al. 2011 (https://arxiv.org/pdf/1109.0390)
# name z M500 M500_err M500_Mgas M500_Mgas_err Mgas Mgas_err Mstar Mstar_err fgas fgas_err fstar fstar_err
# Columns:
# 1) name          : cluster name
# 2) z             : cluster redshift
# 3) M500          : total cluster mass within R500 [10^14 Msun]
# 4) M500_err      : 1-sigma uncertainty on M500
# 5) M500_Mgas     : cluster mass derived from the M500–Mgas relation [10^14 Msun]
# 6) M500_Mgas_err : 1-sigma uncertainty on M500_Mgas
# 7) Mgas          : gas mass within R500 [10^13 Msun]
# 8) Mgas_err      : 1-sigma uncertainty on Gas
# 9) Mstar         : stellar mass within R500 [10^12 Msun]
#10) Mstar_err     : 1-sigma uncertainty on Mstar
#11) fgas          : gas mass fraction within R500
#12) fgas_err      : 1-sigma uncertainty on fgas
#13) fstar         : stellar mass fraction within R500
#14) fstar_err     : 1-sigma uncertainty on fstar

A0085 0.0556 6.37 1.00 5.68 0.37 8.13 0.38 2.71 1.83 0.128 0.010 0.0115 0.0012
A0400 0.0240 1.83 0.39 1.07 0.07 1.36 0.05 1.58 1.07 0.075 0.008 0.0240 0.0039
IIIZw54 0.0311 1.91 0.58 1.18 0.08 1.45 0.26 2.79 1.56 0.076 0.013 0.0239 0.0039
A1367 0.0216 1.76 0.27 2.11 0.14 2.07 0.07 1.72 0.30 0.118 0.009 0.0247 0.0028
MKW4 0.0200 0.50 0.14 0.58 0.04 0.47 0.02 0.63 0.18 0.094 0.013 0.0233 0.0040
ZwCl1215 0.0750 4.93 0.98 4.34 0.28 6.10 0.29 3.06 2.30 0.124 0.013 0.0143 0.0017
A1650 0.0845 3.44 0.66 4.28 0.27 5.09 0.73 3.09 1.43 0.148 0.018 0.0217 0.0026
Coma 0.0232 6.55 0.79 6.21 0.40 8.42 0.63 2.23 1.12 0.129 0.009 0.0201 0.0018
A1795 0.0616 3.41 0.63 4.46 0.29 5.11 0.14 2.44 0.81 0.150 0.014 0.0182 0.0022
MKW8 0.0270 0.62 0.12 1.10 0.07 0.80 0.12 0.52 0.39 0.128 0.016 0.0259 0.0031
A2029 0.0767 14.70 2.61 6.82 0.44 13.35 0.53 4.49 0.80 0.091 0.008 0.0065 0.0007
A2052 0.0348 1.39 0.28 2.03 0.13 1.86 0.10 2.84 0.33 0.134 0.014 0.0254 0.0030
MKW3S 0.0450 1.45 0.34 2.29 0.15 2.13 0.09 1.30 1.76 0.147 0.017 0.0268 0.0035
A2065 0.0721 11.18 1.78 3.35 0.22 7.66 1.44 3.04 1.53 0.069 0.008 0.0065 0.0006
A2142 0.0899 7.36 1.25 10.26 0.66 13.76 0.73 4.04 2.22 0.187 0.017 0.0114 0.0011
A2147 0.0351 4.44 0.67 3.63 0.23 5.04 0.53 2.37 1.76 0.114 0.010 0.0154 0.0015
A2199 0.0302 2.69 0.42 2.64 0.17 2.97 0.30 2.26 0.06 0.110 0.010 0.0177 0.0017
A2255 0.0800 7.13 1.38 4.08 0.26 7.11 0.33 2.99 1.79 0.100 0.010 0.0095 0.0011
A2589 0.0416 3.03 0.75 1.88 0.12 2.54 0.17 1.77 2.04 0.084 0.011 0.0169 0.0023
